Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Recommended_Exercises,Exercise_Type_Details
39,Female,42.5,1.75,181,131,52,1.13,740.0,Strength,26.2,2.1,2,1,13.88,"HM Hand-On-Wall Stretch, 30 Chest Incline Barbell Bench Press, Cable Seated Crunch","Type: Strength, Equipment: Body Only, Level: Intermediate"
19,Female,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3,2,27.34,"Holman Elbow Plank to Renegade Row, Holman Alternating Diagonal Knee Pull-in, Holman Right Hand Left Foot Sleeping Crab","Type: Cardio, Equipment: Body Only, Level: Intermediate"
41,Female,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3,1,13.98,"Reverse Band Power Squat, Standing calf raise-, Stride Jump Crossover","Type: Cardio, Equipment: Body Only, Level: Intermediate"
47,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,32.8,2.5,3,2,21.81,"UNS Foam Roll Thigh, KV Cable Squat, JM Press With Bands","Type: Strength, Equipment: Body Only, Level: Intermediate"
55,Female,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2,1,26.96,"Twisting Mountain Climbers, Holman Burpee to Flying Jack, Muscle Beach Side Kick","Type: Cardio, Equipment: Other, Level: Beginner"
19,Male,89.0,1.77,175,127,72,1.5,1048.0,Strength,28.9,3.7,4,2,28.41,"Holman Squat Pulse, Single-leg kettlebell deadlift, FYR2 Double-Under","Type: Strength, Equipment: Medicine Ball, Level: Intermediate"
38,Male,71.9,1.77,197,142,72,1.12,875.0,Cardio,25.7,3.1,2,1,22.95,"Lateral shuffle, Single-Leg Squat With Knee Tap, MetaBurn Alternating Lateral Sprawl","Type: Cardio, Equipment: Other, Level: Intermediate"
50,Female,71.0,1.68,187,161,70,1.17,848.0,Yoga,33.1,2.5,2,1,25.16,"UNS Bird Dog, 30 Shoulders Seated Dumbbell Shoulder Press, Holman Straight Plank Dumbbell Reach-Under","Type: Stretching, Equipment: Foam Roll, Level: Intermediate"
29,Male,120.9,1.78,197,168,65,0.78,721.0,Yoga,28.1,3.4,2,1,38.16,"Single-arm kettlebell thruster, Straight-arm plank, Single-arm lateral raise","Type: Stretching, Equipment: Foam Roll, Level: Beginner"
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51,"UP Squat, Side Bridge, Exercise Ball Knee Tuck - Gethin Varation","Type: Cardio, Equipment: Other, Level: Intermediate"
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3,2,21.78,"Push-up to side plank, Crab single-arm reach, 30 Legs Seated Leg Curl","Type: Stretching, Equipment: Body Only, Level: Beginner"
44,Male,65.2,1.8,192,139,68,0.73,502.0,HIIT,27.2,2.7,2,1,20.12,"Machine Squat, Holman Flying Squat Thrust to Push-Up, Bottoms Up","Type: Cardio, Equipment: Body Only, Level: Intermediate"
59,Male,53.9,1.75,168,135,69,1.48,989.0,Strength,21.6,2.8,4,2,17.6,"Feet-elevated bench dip, Holman Alternating Lunge Jump, 30 Shoulders Bent-Over Dumbbell Reverse Fly","Type: Strength, Equipment: Barbell, Level: Intermediate"
45,Male,84.9,1.86,186,136,66,1.64,1104.0,HIIT,14.2,3.5,5,3,24.54,"MetaBurn Alternating Lateral Sprawl, Dumbbell T-hold, In-out sprawl","Type: Cardio, Equipment: Other, Level: Intermediate"
33,Female,78.0,1.68,183,135,55,1.29,871.0,HIIT,32.3,1.8,3,2,27.64,"Holman Diagonal Deadlift, Holman 180 Jump to Renegade Side Raise, Over bench jump","Type: Cardio, Equipment: Body Only, Level: Intermediate"
32,Male,108.2,1.8,172,138,53,1.27,964.0,HIIT,28.4,3.5,3,1,33.4,"Good Morning off Pins, Seated Overhead Stretch, MetaBurn Plank Up-Down","Type: Cardio, Equipment: Body Only, Level: Beginner"
20,Female,65.4,1.52,185,127,50,1.03,654.0,Yoga,28.0,2.2,4,2,28.31,"Backward Medicine Ball Throw, Boss Everline 10-Yard Sprints, Barbell press sit-up","Type: Stretching, Equipment: nan, Level: Beginner"
54,Female,50.2,1.61,188,157,67,1.48,1046.0,HIIT,28.2,2.7,2,1,19.37,"Holman Weighted W-Boat to Overhead Press, Feet-elevated crunch, Landmine squat","Type: Cardio, Equipment: Other, Level: Intermediate"
24,Female,58.9,1.51,187,157,68,1.04,816.0,Cardio,31.7,2.5,2,1,25.83,"On Your Side Quad Stretch, HM Alternating Lunge Push-Up, Muscle Beach Side Kick","Type: Cardio, Equipment: Body Only, Level: Intermediate"
38,Male,81.4,1.71,187,148,58,1.52,1237.0,HIIT,10.2,3.5,5,3,27.84,"Dumbbell lateral hop to sprint, 30 Legs Leg Extension, Swiss Ball V-Up With Foot Pass","Type: Cardio, Equipment: Body Only, Level: Intermediate"
26,Male,127.6,1.73,167,160,62,1.32,1162.0,Strength,27.3,2.9,3,1,42.63,"Side Wrist Pull, One-Arm Push-Up, Holman Plate Straight Plank Pike to Jack","Type: Strength, Equipment: Body Only, Level: Intermediate"
56,Female,59.3,1.56,182,155,57,1.26,879.0,Cardio,33.4,2.6,4,2,24.37,"Holman Weighted Burpee to Chest Press, Jump Squat, Pop Squat On Leg Press","Type: Cardio, Equipment: Body Only, Level: Beginner"
35,Male,96.9,1.71,188,145,72,1.34,1069.0,Strength,24.2,2.9,3,2,33.14,"30 Legs Seated Calf Raise, FYR2 Kettlebell Clean and Press, Standing hamstring stretch","Type: Strength, Equipment: Barbell, Level: Intermediate"
21,Male,62.6,1.81,164,150,62,1.3,1072.0,Strength,27.6,3.5,4,2,19.11,"Dumbbell skullcrusher, HM Sit-Up, Partner sit-up with high-five","Type: Strength, Equipment: Other, Level: Intermediate"
42,Male,45.5,1.6,166,163,64,1.31,1057.0,Strength,21.7,2.6,3,2,17.77,"Holman Seated Pike, Holman Weighted Burpee to Pike, MetaBurn Tabletop With Russian Kick","Type: Strength, Equipment: Cable, Level: Intermediate"
31,Female,48.8,1.51,195,131,60,1.48,969.0,Cardio,28.2,2.0,2,1,21.4,"HM Left Calf-Spike Sumo Pulse, Taylor Kettlebell Goblet Squat, Dumbbell split squat","Type: Cardio, Equipment: Body Only, Level: Intermediate"
26,Female,44.3,1.6,186,136,61,1.08,734.0,Cardio,34.7,2.0,3,1,17.3,"Burpee tuck jump, Single-arm kettlebell overhead squat, Dumbbell squat","Type: Cardio, Equipment: Machine, Level: Intermediate"
43,Male,113.2,1.83,161,134,63,1.45,962.0,Yoga,29.9,2.9,4,2,33.8,"One-Arm Kettlebell Military Press To The Side, Double Kettlebell Swing, Dumbbell Fix Dumbbell Sit-Up","Type: Stretching, Equipment: Body Only, Level: Intermediate"
19,Female,60.5,1.59,184,128,53,1.14,730.0,Cardio,30.1,2.2,2,1,23.93,"Jumping rope, Smith Machine Standing Calf Raises - Gethin Variation, Single-leg depth squat","Type: Cardio, Equipment: Machine, Level: Intermediate"
37,Male,124.2,1.76,168,158,50,1.5,1304.0,HIIT,29.3,2.8,2,1,40.1,"FYR2 Double-Kettlebell Front Squat, HM Ninja Crawl, HM Pigeon Stretch","Type: Cardio, Equipment: Body Only, Level: Intermediate"
45,Male,52.4,1.85,186,161,73,1.2,956.0,Strength,25.2,2.5,3,1,15.31,"Boss Everline Lunge Sled Push, Holman Slow Weighted Half Jack to Overhead Press, FYR Kneeling Biceps","Type: Strength, Equipment: Body Only, Level: Intermediate"
24,Male,54.7,1.74,160,167,53,0.84,772.0,Yoga,22.9,3.6,3,1,18.07,"Runner's Stretch, Holman Left Side Plank with Right Triceps Press, MetaBurn Dumbbell Overhead Press","Type: Stretching, Equipment: Other, Level: Beginner"
25,Male,88.1,1.95,182,131,68,1.41,1016.0,Cardio,22.7,3.0,2,1,23.17,"Pulsing goblet squat, HM Jumping Rope, 30 Legs Feet-High Leg Press","Type: Cardio, Equipment: Body Only, Level: Intermediate"
52,Female,59.7,1.71,169,151,58,1.23,836.0,Strength,34.3,2.0,3,1,20.42,"Seated Band Hamstring Curl, Palms-Up Dumbbell Wrist Curl Over A Bench, Reverse Grip Triceps Pushdown","Type: Strength, Equipment: Other, Level: Intermediate"
31,Female,79.7,1.54,184,144,59,1.03,742.0,Cardio,26.7,2.3,4,2,33.61,"Balance Board, Holman Burpee to Flying Squat Thrust, 30 Legs Barbell Front Squat","Type: Cardio, Equipment: Machine, Level: Intermediate"
34,Female,51.0,1.62,162,158,53,1.42,1122.0,Yoga,30.8,2.4,3,2,19.43,"UP Band Pull-Apart, FYR Dumbbell Military Press to Dumbbell High Pull to V-up, Holman Straight Plank Hand Tap to Shoulder Tap","Type: Stretching, Equipment: Body Only, Level: Intermediate"
53,Male,84.2,1.76,165,137,69,1.67,1133.0,Cardio,12.8,3.5,5,3,27.18,"Bodyweight Squat - Gethin Variation, Holman Right Squat Thrust, 30 Legs Walking Lunge","Type: Cardio, Equipment: Body Only, Level: Beginner"
57,Male,122.1,1.89,165,134,58,1.13,750.0,Cardio,27.4,3.6,3,1,34.18,"Front-To-Back Barbell Squat, Holman Weighted 180 Jump, 30 Legs Smith Machine Split Squat","Type: Cardio, Equipment: Body Only, Level: Beginner"
21,Male,96.7,1.72,161,151,62,1.26,1046.0,Strength,25.0,2.8,3,1,32.69,"AM Leg Press, Holman Feet-Elevated Plank Pike Pull to Push-Up, Rocket Jump","Type: Strength, Equipment: Cable, Level: Intermediate"
19,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,27.7,1.6,3,1,22.78,"BOSU cross-body crunch, Barbell Lunge - Gethin Variation, Holman Flying Squat Thrust to Push-Up","Type: Cardio, Equipment: Other, Level: Beginner"
23,Male,114.8,1.6,182,163,60,1.47,1318.0,Cardio,21.7,2.7,4,2,44.84,"HM Speed Skater, Holman Heavy Hip Drive, Holman Towel Alternating Lateral Lunge","Type: Cardio, Equipment: Body Only, Level: Beginner"
59,Female,65.5,1.52,161,162,61,1.4,1021.0,Yoga,31.2,2.1,3,2,28.35,"Holman Knee Pull-In Crunch, Double Kettlebell Jerk, HM Reverse Crunch with Frisbee","Type: Stretching, Equipment: Body Only, Level: Intermediate"
21,Female,50.3,1.52,171,154,67,1.08,832.0,Cardio,32.2,2.6,3,1,21.77,"Smith machine lunge sprint, Holman Bear Crawl to Froggy Push-Up, Leverage Deadlift","Type: Cardio, Equipment: Other, Level: Intermediate"
46,Female,61.0,1.71,181,153,61,1.67,1150.0,Cardio,17.8,2.7,4,3,20.86,"30 Legs Sumo Deadlift, Dumbbell Lunges, MetaBurn Lateral Bounding Hop","Type: Cardio, Equipment: Machine, Level: Beginner"
35,Female,44.6,1.62,196,157,65,0.56,440.0,HIIT,32.4,2.0,2,1,16.99,"Holman Foot-Elevated Knee-Up to Squat, Rear Leg Raises, Kneeling cable crunch","Type: Cardio, Equipment: Body Only, Level: Beginner"
43,Female,58.2,1.61,179,124,54,1.04,580.0,Strength,26.4,2.6,3,2,22.45,"HM Jumping Jack, Double-kettlebell alternating lunge to clean, Leg Pull-In","Type: Strength, Equipment: Body Only, Level: Intermediate"
51,Female,44.8,1.63,198,137,69,1.08,666.0,Yoga,33.8,2.1,4,2,16.86,"30 Shoulders Single-Arm Leaning Cable Lateral Raise, Total Fitness V-Up, MetaBurn Side Plank Oblique Crunch","Type: Stretching, Equipment: Body Only, Level: Intermediate"
27,Male,87.5,1.63,183,135,74,1.75,1299.0,Strength,12.9,3.5,5,3,32.93,"HM Hollow-Body Pulse, Weighted donkey calf raise, Holman Weighted Lunge Jump to Floor Lunge Jump","Type: Strength, Equipment: Body Only, Level: Intermediate"
53,Male,51.8,1.74,179,127,61,1.23,773.0,Strength,21.3,3.7,3,2,17.11,"Holman Left Side Diagonal Burpee, Plate front raise, FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
31,Female,64.4,1.7,160,144,70,1.97,1418.0,Strength,17.3,2.7,5,3,22.28,"Leg Pull-In, Calf SMR, Barbell stiff-legged deadlift","Type: Strength, Equipment: Body Only, Level: Intermediate"
48,Female,67.1,1.61,160,151,74,0.62,421.0,Cardio,33.4,1.5,2,1,25.89,"World's greatest stretch, Holman Flying Squat Thrust to Push-Up, Alternating Single-Leg Curl - Gethin Variation","Type: Cardio, Equipment: Body Only, Level: Intermediate"
32,Male,85.9,1.6,176,145,60,1.99,1587.0,HIIT,14.5,3.5,5,3,33.55,"Holman Feet-Elevated Hip Raise, Walking High Knees, Single-arm side deadlift","Type: Cardio, Equipment: Body Only, Level: Intermediate"
25,Female,65.4,1.77,160,141,58,0.89,627.0,Cardio,27.6,2.6,3,1,20.88,"Holman Weighted Lunge Jump with Biceps Curl, HM World's Greatest Stretch, Single-leg lying leg curl","Type: Cardio, Equipment: Machine, Level: Intermediate"
31,Female,61.1,1.76,189,150,67,1.81,1358.0,Yoga,18.6,2.7,4,3,19.72,"FYR Dumbbell Tempo L-Raise, Holman Wide Squat Side-to-Side Obliques, Holman Feet-Elevated Plank Pike Pull","Type: Stretching, Equipment: Body Only, Level: Beginner"
40,Male,106.5,1.65,162,162,74,1.32,1176.0,HIIT,21.0,3.6,4,2,39.12,"3D dumbbell lunge, Holman Feet-Elevated Plank Reach, AM Ab Machine","Type: Cardio, Equipment: Machine, Level: Intermediate"
57,Female,64.0,1.52,170,129,52,1.73,1004.0,Strength,15.2,2.7,5,3,27.7,"Holman Plate Elbow Plank Reach, Ab wheel roll-out, Partner sit-up with high-five","Type: Strength, Equipment: Cable, Level: Intermediate"
38,Female,61.4,1.54,183,131,69,1.47,963.0,HIIT,30.6,2.7,3,2,25.89,"Dumbbell Fix Alternating Renegade Row, Gorilla Chin/Crunch, Goblet Squats","Type: Cardio, Equipment: Body Only, Level: Beginner"
33,Female,40.5,1.63,181,147,66,1.07,786.0,Yoga,31.9,1.5,4,2,15.24,"Seated Hamstring Curl - Gethin Variation, Single-arm incline cable cross-over, Reach-roll-lift combo","Type: Stretching, Equipment: Other, Level: Beginner"
35,Male,70.1,1.79,185,125,63,1.08,743.0,Cardio,28.0,2.3,3,2,21.88,"HM Single-Leg Touchdown, HM Walking Hip Stretch, AM Seated Hamstring Curl","Type: Cardio, Equipment: Body Only, Level: Beginner"
41,Male,94.1,1.62,172,139,50,1.13,777.0,Cardio,23.4,3.1,4,2,35.86,"Standing Calf Raises, Holman Left Reverse Lunge, Holman Weighted Burpee to Front Punch","Type: Cardio, Equipment: Body Only, Level: Intermediate"
43,Male,55.5,1.82,160,124,66,1.08,663.0,Strength,20.1,2.0,3,1,16.76,"Squat Jerk, FYR2 Squat-Clean-Alternating-Press Complex, Reverse-grip cable straight-bar push-down","Type: Strength, Equipment: Other, Level: Intermediate"
42,Female,53.7,1.72,183,142,74,1.37,875.0,Cardio,29.8,1.6,3,1,18.15,"Box Squat with Bands, Shuttle run training, Olympic Squat","Type: Cardio, Equipment: Other, Level: Intermediate"
58,Female,66.1,1.75,169,128,57,0.63,363.0,Cardio,25.2,1.8,2,1,21.58,"Holman Hands-Elevated Wide Squat Thrust, Dumbbell Fix Dumbbell Alternating Reverse Lunge, Squat - Gethin Variation","Type: Cardio, Equipment: Body Only, Level: Intermediate"
46,Male,103.9,1.77,194,148,54,1.18,864.0,Yoga,20.9,2.9,2,1,33.16,"Bosu Ball Cable Crunch With Side Bends, Holman Boat Press with Leg Extension, Front kick-through","Type: Stretching, Equipment: nan, Level: Beginner"
32,Female,61.7,1.58,183,135,54,1.87,1262.0,HIIT,16.6,2.7,5,3,24.72,"30 Hanging Toes-To-Bar, Cocoons, Kettlebell pass-through lunge","Type: Cardio, Equipment: Machine, Level: Intermediate"
18,Female,52.3,1.74,187,165,58,1.2,990.0,Cardio,29.4,2.2,2,1,17.27,"Lateral lunge, Holman Forward Lunge to Reverse Lunge, Machine seated calf raise","Type: Cardio, Equipment: Machine, Level: Intermediate"
42,Female,59.5,1.74,195,141,52,1.78,1129.0,Yoga,16.4,2.7,5,3,19.65,"Hollow-body abduction, Machine crunch, Elbow-to-knee crunch","Type: Stretching, Equipment: Foam Roll, Level: Beginner"
24,Female,72.9,1.76,175,127,68,0.86,546.0,Yoga,30.8,1.5,3,1,23.53,"Seated Dumbbell Press, MetaBurn Plank With Alternating Toe-Touch, Two-Arm Kettlebell Jerk","Type: Stretching, Equipment: Foam Roll, Level: Beginner"
26,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,25.6,1.7,2,1,28.87,"Waiter's carry, Holman Towel Burpee, MetaBurn Double Lunge","Type: Strength, Equipment: Other, Level: Intermediate"
41,Male,72.1,1.83,175,133,58,1.13,744.0,Yoga,21.4,2.8,3,2,21.53,"Suspended Leg Curl, Holman Alternating Front Raise to Side Raise, Leg Extension - Gethin Variation","Type: Stretching, Equipment: Body Only, Level: Intermediate"
18,Female,54.8,1.68,176,158,71,1.27,1003.0,Strength,32.0,2.2,4,2,19.42,"Squat with Chains, Holman Left Arm Heavy Overhead Press, Full Moon","Type: Strength, Equipment: Dumbbell, Level: Intermediate"
25,Male,105.0,1.88,174,156,67,1.34,1150.0,Cardio,21.4,2.3,3,2,29.71,"Holman Right Split Lunge, Single-leg knee-tap squat, Standing leg swing","Type: Cardio, Equipment: Body Only, Level: Intermediate"
41,Female,55.0,1.55,175,169,65,1.45,1103.0,Strength,31.4,2.0,4,2,22.89,"Barbell Front-To-Back Squat, Low-cable cross-over, One-Arm Kettlebell Split Snatch","Type: Strength, Equipment: Body Only, Level: Intermediate"
28,Male,81.6,1.66,174,153,50,1.09,917.0,Yoga,20.5,3.5,4,2,29.61,"Holman Heavy Left Arm Overhead Press, MetaBurn Dumbbell Overhead Press, Single-leg kettlebell deadlift","Type: Stretching, Equipment: Body Only, Level: Intermediate"
34,Female,75.6,1.6,193,130,51,0.64,416.0,HIIT,29.1,2.7,2,1,29.53,"Holman Straight Plank Hand Tap to Shoulder Tap, Single-Arm Cable Outward-Facing Biceps Curl, Holman Left Side Diagonal Burpee","Type: Cardio, Equipment: Body Only, Level: Intermediate"
25,Male,81.5,1.61,170,159,63,1.93,1688.0,HIIT,10.9,3.5,4,3,31.44,"HM Squat Jump, Medicine ball half moon, Plank Walk","Type: Cardio, Equipment: Body Only, Level: Beginner"
52,Female,61.5,1.69,160,152,63,1.8,1231.0,Cardio,15.5,2.7,4,3,21.53,"Dumbbell step-up, Squat Bottom Position Hold, Holman Frogger Squat to Heel Click","Type: Cardio, Equipment: Body Only, Level: Beginner"
52,Male,74.0,1.63,174,150,50,1.26,936.0,Cardio,25.7,3.7,3,2,27.85,"Holman 180 Jump to Renegade Side Raise, Holman Kettlebell Swing Transfer, MetaBurn Tuck Jump With Knee Slap","Type: Cardio, Equipment: Body Only, Level: Intermediate"
50,Female,56.4,1.59,185,163,74,1.26,924.0,HIIT,34.3,2.6,3,1,22.31,"Rocket Jump, Holman Squat Tap to Hop, ACFT Sprint-drag-carry","Type: Cardio, Equipment: Body Only, Level: Intermediate"
22,Male,102.6,1.84,163,153,65,1.25,1052.0,Strength,20.5,2.7,3,2,30.3,"Holman Boat Arnold Press with Feet Push-Out, MetaBurn Alternating Dumbbell Sit-Through, Rusin Band Pull-Apart","Type: Strength, Equipment: Body Only, Level: Intermediate"
59,Female,54.6,1.57,164,169,64,0.58,441.0,Cardio,29.2,2.3,3,1,22.15,"The Straddle, HM Dumbbell Squat, HM Walking Hip Stretch","Type: Cardio, Equipment: Other, Level: Intermediate"
56,Male,129.0,1.78,194,126,64,1.29,805.0,Yoga,27.1,2.7,2,1,40.71,"Alternating Deltoid Raise, FYR2 Kettlebell Clean and Press, Dumbbell clean and press","Type: Stretching, Equipment: nan, Level: Beginner"
58,Male,103.5,1.66,172,168,61,1.33,1106.0,Cardio,24.6,3.1,3,1,37.56,"Holman Weighted Burpee to Renegade Side Punch, Holman Burpee to Open Stance, HM Single-Leg Romanian Deadlift","Type: Cardio, Equipment: Machine, Level: Intermediate"
45,Female,59.4,1.51,169,142,65,1.15,735.0,Strength,33.1,1.9,4,2,26.05,"Lying cable biceps curl, Leg extension, Standing Hip Flexors","Type: Strength, Equipment: Bands, Level: Intermediate"
24,Female,60.1,1.79,170,165,63,1.97,1625.0,Cardio,15.9,2.7,4,3,18.76,"HM Tuck-Up Burpee, Dumbbell lateral hop to sprint, Lateral lunge","Type: Cardio, Equipment: Other, Level: Intermediate"
26,Male,77.7,1.62,177,126,73,1.16,804.0,Yoga,29.6,3.0,3,2,29.61,"30 Shoulders Single-Arm Cable Front Raise, Seated leg lift, MetaBurn Psycho Crunch","Type: Stretching, Equipment: Body Only, Level: Intermediate"
25,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4,2,15.7,"Single-arm dumbbell crunch, McGill Pull-Up, Incline dumbbell reverse fly","Type: Stretching, Equipment: Foam Roll, Level: Intermediate"
29,Male,58.6,1.61,198,122,72,1.2,805.0,Yoga,23.4,2.0,3,2,22.61,"Romanian Deadlift, HM Bottoms Up, 30 Shoulders Single-Arm Leaning Cable Lateral Raise","Type: Stretching, Equipment: Body Only, Level: Intermediate"
51,Male,109.3,1.78,182,157,64,0.54,420.0,Strength,28.7,3.3,3,1,34.5,"FYR2 Squat Pulse, Linear 3-Part Start Technique, FYR2 Pulse Biceps Curl","Type: Strength, Equipment: Body Only, Level: Intermediate"
50,Male,69.6,1.96,166,139,68,0.97,667.0,Strength,25.6,2.0,3,1,18.12,"30 Hanging Oblique Crunch, Reverse Machine Flyes, HM Side-Plank with Hip Touch","Type: Strength, Equipment: Cable, Level: Intermediate"
40,Female,56.2,1.79,198,153,57,1.79,1369.0,Yoga,17.6,2.7,5,3,17.54,"Holman Feet-Elevated Right Side Plank, Sled Reverse Flye, HM Inchworm","Type: Stretching, Equipment: Body Only, Level: Intermediate"
41,Male,71.7,1.96,162,168,51,0.51,424.0,Yoga,27.3,2.5,2,1,18.66,"Jordan Shallow Band-Resisted Thread the Needle, Seated leg tuck with dumbbell, 3/4 sit-up","Type: Stretching, Equipment: Other, Level: Beginner"
54,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5,3,23.09,"Reverse Barbell Preacher Curls, Seated triceps press, Holman Right Leg Hop to Right Reverse Lunge","Type: Strength, Equipment: Cable, Level: Intermediate"
52,Female,79.4,1.59,166,163,59,1.39,1020.0,Strength,26.6,1.5,3,2,31.41,"Taylor Half-Kneeling Kettlebell Halo, Single-Arm Dumbbell Snatch, Holman Weighted Burpee to Renegade Side Punch","Type: Strength, Equipment: Barbell, Level: Intermediate"
57,Female,78.4,1.62,185,149,52,1.01,677.0,Strength,31.7,2.0,4,2,29.87,"Leg Extension - Gethin Variation, Squatting cable EZ-bar biceps curl, Cable straight-bar biceps curl","Type: Strength, Equipment: Barbell, Level: Intermediate"
39,Female,55.4,1.6,192,136,72,1.44,979.0,HIIT,26.3,1.6,3,2,21.64,"Decline bar press sit-up, Single-arm dumbbell front squat, Holman Towel Hill Climber","Type: Cardio, Equipment: Body Only, Level: Intermediate"
44,Female,61.7,1.55,196,129,66,1.41,819.0,Strength,33.1,2.6,4,2,25.68,"Bear crawl hold, Holman Ninja Knee Straight Plank, Car Deadlift","Type: Strength, Equipment: Body Only, Level: Intermediate"
52,Male,85.5,1.82,174,154,57,1.78,1357.0,Yoga,14.9,3.5,4,3,25.81,"Standing Military Press - Gethin Variation, 30 Spider Crawl, HM Side-Plank Arm Wrap","Type: Stretching, Equipment: Body Only, Level: Intermediate"
18,Male,87.6,1.93,161,139,72,1.72,1315.0,HIIT,11.9,3.5,4,3,23.52,"Shin hug, Holman Elbow Plank Roll, Dumbbell V-Sit Cross Jab","Type: Cardio, Equipment: Body Only, Level: Intermediate"
